student_id,age,gender,first_generation_college,international_student,residency_status,high_school_gpa,sat_score,act_score,advanced_courses_taken,extracurricular_activities,major,enrollment_status,semester_credits,admission_type,starting_semester,family_income,financial_aid_received,pell_grant_eligible,student_loan_amount,has_campus_job,current_gpa,credits_completed,courses_failed,courses_withdrawn,attendance_rate,study_hours_per_week,library_visits_per_month,tutoring_sessions_attended,advisor_meetings,clubs_joined,living_arrangement,has_disability,distance_from_campus_miles,work_hours_per_week,dropped_out
1,23,Male,False,False,In-state,2.88,1034.0,26,2,2,Health Sciences,Full-time,12,Transfer,Fall,$30k-$60k,True,False,239,True,3.63,23,0,0,73.6,21,0,0,3,0,On-campus,False,64,18,False
2,20,Male,True,False,In-state,2.79,1162.0,20,3,2,Social Sciences,Full-time,18,Regular,Spring,$60k-$100k,False,True,24364,False,1.92,45,2,3,77.6,11,4,2,1,2,On-campus,False,0,2,True
3,19,Female,False,False,In-state,3.44,1264.0,22,5,2,Arts & Sciences,Full-time,12,Regular,Fall,$60k-$100k,True,False,18313,True,2.13,96,0,0,69.9,28,2,2,1,0,On-campus,False,10,5,True
4,17,Male,False,True,In-state,2.86,966.0,28,4,3,Engineering,Full-time,18,Regular,Fall,$30k-$60k,True,False,11918,True,3.22,3,0,1,83.8,24,1,0,0,1,Off-campus,False,24,27,False
5,17,Male,True,True,Out-of-state,3.77,1174.0,25,8,1,Business,Full-time,15,Early Decision,Fall,$30k-$60k,True,False,6449,False,3.18,1,1,1,79.8,7,7,5,1,0,On-campus,False,15,10,False
6,22,Female,False,False,In-state,3.25,1151.7961403508773,23,4,4,Social Sciences,Full-time,15,Regular,Fall,<$30k,True,False,3866,False,3.63,21,0,0,79.8,7,4,0,3,1,On-campus,False,10,18,False
7,17,Female,False,False,In-state,3.19,1264.0,19,3,2,Business,Full-time,12,Regular,Spring,$30k-$60k,True,False,5406,True,3.08,52,0,0,79.8,25,4,2,0,1,On-campus,False,15,1,False
8,18,Female,False,False,In-state,3.09,1084.0,30,3,2,Education,Full-time,15,Regular,Spring,<$30k,False,False,9606,False,4.0,21,1,0,93.1,2,2,2,0,1,At home,False,34,3,False
9,17,Male,False,False,In-state,3.2,1006.0,22,2,2,Education,Full-time,15,Regular,Fall,$100k+,True,True,21814,False,3.25,40,0,1,72.9,6,1,1,2,1,Commuter,False,7,10,False
10,17,Male,False,False,In-state,2.92,1384.0,18,8,4,Business,Full-time,18,Regular,Fall,$60k-$100k,True,False,5442,False,2.32,26,0,1,76.4,8,4,2,0,3,At home,False,2,8,False
11,24,Male,False,False,In-state,3.56,800.0,25,0,2,Business,Full-time,15,Regular,Fall,<$30k,True,True,7321,False,1.97,58,2,2,92.9,34,3,4,2,1,On-campus,False,9,1,True
12,21,Female,True,False,Out-of-state,3.34,1151.7961403508773,31,2,2,Computer Science,Full-time,18,Early Decision,Fall,$100k+,True,False,2145,False,1.89,36,2,0,79.8,10,4,2,2,3,Off-campus,False,4,25,True
13,21,Non-binary,False,False,International,3.28,1133.0,24,3,3,Health Sciences,Part-time,6,Regular,Fall,$60k-$100k,False,False,73,False,2.89,19,0,0,47.8,0,5,3,0,1,Commuter,False,7,3,False
